Job Title,Company,Experience,Key Skills,Location,Description
django Developer,Nexus jobs,0 to 3 Yrs," HTML , CSS , JavaScript , Python , Django , Angular , Nodejs , React",Jaipur,"Company Overview

Nexus Jobs is a leading talent staffing services provider with extensive experience in pan-India hiring. Our focus is on providing end-to-end manpower solutions that meet our clients"" specific requirements. We offer a wide range of corporate manpower services, including immediate placement services, part-time/full-time jobs, freelance project work, and career opportunities for both freshers and experienced candidates.

Job Overview

We are seeking a Full-Stack Developer to join our team at Nexus Jobs. As a Full-Stack Developer, you will be responsible for designing, developing, and maintaining both the front-end and back-end components of our web applications. This is a full-time role based in Jaipur, Rajasthan, India, and is suitable for candidates with less than 1 year of experience.

Qualifications And Skills
 Strong knowledge of Node.js, HTML, CSS, and JavaScript
 Proficiency in Python and Django framework
 Excellent communication and collaboration skills
 Problem-solving abilities and attention to detail
 Ability to work in a fast-paced and dynamic environment
 Familiarity with version control systems
 Experience with front-end frameworks such as React or Angular is a plus

Roles And Responsibilities
 Designing, coding, and modifying websites and web applications from layout to function
 Creating visually appealing and user-friendly front-end components using HTML, CSS, and JavaScript
 Developing and maintaining server-side applications using Node.js and Django
 Collaborating with design and product teams to implement and improve features
 Conducting code reviews and ensuring code quality and optimization
 Troubleshooting and resolving issues reported by users
 Staying updated on emerging technologies and industry trends,"
Junior Django Developer,Startup Labs Infotech Pvt. Ltd.,1 to 5 Yrs," Python , Django , Django ReST Framework",Jaipur,"We're Hiring!

Django Developer Opportunity!

We're on the lookout for a talented Django Developer with 1-2 years of experience. If you're well-versed in Python, Django, and Django ReST Framework, we'd love to hear from you! Join our dynamic team and work on exciting projects that make an impact.

 Location: On-site (Jaipur)

 Experience: 1-2 years

 Skills: Python, Django, Django ReST Framework

Joining: Immediate

Apply today and be a part of something great!

Apply to: hidden_email with your resume, time required to join, current CTC and expected CTC

hashtag

#DjangoDeveloper hashtag

#Python hashtag

#Hiring hashtag

#TechJobs hashtag

#DjangoRestFramework hashtag

#WebDevelopment hashtag

#CareerOpportunity hashtag

#SoftwareDevelopment hashtag

#BackendDeveloper hashtag

#DeveloperJobs hashtag

#PythonJobs hashtag

#TechCareer hashtag

#JoinOurTeam hashtag

#ReSTAPI hashtag

#APIDevelopment,"
Full Stack Engineer,Humanli.Ai,0 to 4 Yrs," JavaScript , Python , HTML , CSS , Angular , Django , Flask , MySQL , MongoDB , Apache , Nginx , Machine Learning , React , Nodejs , AI",Jaipur,"Full Stack Developer - Entry Level

Humanli.AI

About Humanli.AI:

Humanli.AI is a pioneering generative AI company experiencing rapid growth and pushing the boundaries of technology to solve tomorrows challenges today. Our cutting-edge solutions impact various industries, making processes smarter and more efficient. As we continue to scale, we are seeking ambitious BTech Computer Science graduates passionate about technology and eager to grow with us.

Job Description:

As a Junior Full Stack Developer at Humanli.AI, you will play a crucial role in building and maintaining our innovative AI-powered applications. This role offers a blend of front-end and back-end development opportunities, allowing you to gain comprehensive experience in full-stack technology stacks. You will collaborate closely with a team of experts to create scalable, efficient, and robust solutions.

Responsibilities:

- Participate in the entire application lifecycle, focusing on coding, debugging, and. testing.

- Collaborate with the team to ideate and develop new features for our AI products.

- Work on both client and server-side code, ensuring high performance and responsiveness.

- Contribute to the design and development of APIs.

- Stay up-to-date with emerging technological trends and apply them to operations and activities.

- Help in maintaining code quality, organization, and automatization.

Qualifications:

- Recent BTech graduate in Computer Science or related field. Final-year Students may apply.

- Strong grasp of fundamental programming languages such as JavaScript and Python.

- Familiarity with front-end technologies (e.g., HTML, CSS, JavaScript, Angular, React) and back-end frameworks (e.g., Node.js, Django, Flask).

- Understanding of database technologies (e.g., MySQL, MongoDB) and web servers (e.g., Apache, Nginx).

- Knowledge of machine learning/AI concepts is a plus.

- Excellent problem-solving skills and willingness to learn new technologies.

- Strong communication and teamwork abilities.

What We Offer:

- Competitive entry-level salary and benefits.

- The opportunity to work on groundbreaking projects in a high-growth industry.

- A dynamic, innovative work environment with a flat hierarchy.

- Comprehensive training and mentorship for professional and personal growth.

- Flexible working hours and the possibility of remote work.

How to Apply:

Ready to embark on a rewarding career journey at the cutting edge of AI technology  Submit your application, including your resume and a brief cover letter explaining why youre a great fit for the role, to hidden_email

Humanli.AI is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We encourage everyone meeting the job criteria to apply.

Become part of our mission to redefine the future with AI. We look forward to your application,"
PHP Developer,Dataoxy Technologies,1 to 5 Yrs," PHP , OOPS , MySQL , Apache , HTML , JavaScript , Ajax , CMS , Magento , AngularJS , CI , LARAVEL , Django , Web services , Version Control , GIT , Cloud Computing , AWS , ReactJS , Ionic , SQL Optimization , RESTful API , Digital Ocean",Jaipur,"Job Description:
 Ability to write valid, clean, efficient and well structured & documented code.
 Produce detailed specifications.
 Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality.
 Contribute in all phases of the development lifecycle.
Develop and deploy new features to facilitate related procedures and tools if necessary.
 Desired Skills & Experience:
 Minimum of 1 year of experience in PHP.
 Experience with the OOPS, MySQL, Apache, HTML, JavaScript and Ajax.
 Knowledge on CMS like Magento and at least one frameworks like AngularJS/ ReactJS/ CI/ LARAVEL/ Ionic/ Django.
 Very good understanding of database technologies and SQL Optimization.
 Proficient in writing Web services and RESTful API.
 Familiarity with Web technologies trends and the evolution of Internet.
 Good knowledge of Version Control tools like GIT.
 Passion for best design and coding practices and a desire to develop new bold. ideas.
 Good written and verbal communication skills.
 Experience in cloud computing (AWS/Digital Ocean) is an added advantage,"
Full Stack Software Developer,softtech management solutions,1 to 5 Yrs," HTML5 , CSS3 , JavaScript , Angular , Python , Ruby , Java , NET , MySQL , MongoDB , PostgreSQL , Git , AWS , Azure , Docker , Kubernetes , React , Vuejs , Nodejs , Google Cloud",Jaipur,"We are seeking a skilled and experienced Full Stack Software Developer to join our team. In this role, you will be responsible for designing, developing, and maintaining software applications from start to finish. The ideal candidate will have a strong foundation in both front-end and back-end development, as well as a passion for creating innovative and user-friendly software solutions.

Responsibilities:
 Develop and maintain software applications using modern front-end and back-end technologies.
 Collaborate with designers, developers, and stakeholders to translate business requirements into technical specifications and user stories.
 Design and implement responsive and visually appealing user interfaces using HTML, CSS, and JavaScript frameworks such as React, Angular, or Vue.js.
 Write clean, efficient, and well-documented code in languages such as JavaScript (Node.js), Python, Ruby, Java, or .NET for back-end development.
 Implement and maintain databases, APIs, and. server-side logic to support software applications.
 Ensure the scalability, security, and performance of software applications through proper architecture design and optimization techniques.
 Conduct thorough testing and debugging of software applications to identify and resolve issues and ensure quality assurance.
 Stay updated on emerging technologies, industry trends, and best practices in software development and apply them to enhance project outcomes.
 Collaborate with cross-functional teams to brainstorm ideas, solve problems, and drive innovation in software development projects.

Requirements:
 Bachelors degree in Computer Science, Engineering, or a related field.
 Proven experience as a Full Stack Software Developer or similar role, with a portfolio of completed projects.
 Strong proficiency in front-end technologies such as HTML5, CSS3, JavaScript, and modern JavaScript frameworks/libraries (e.g., React, Angular, Vue.js).
 Solid understanding of back-end development technologies and frameworks (e.g., Node.js, Express.js, Django, Flask, Ruby on Rails, Spring Boot, .NET).
 Experience with database management systems such as MySQL, MongoDB, PostgreSQL, or similar.
 Familiarity with version control systems (e.g., Git) and CI/CD pipelines.
 Knowledge of cloud computing platforms (e.g., AWS, Azure, Google Cloud) and containerization technologies (e.g., Docker, Kubernetes) is a plus.
 Excellent problem-solving skills, attention to detail, and ability to work independently or as part of a team.
 Strong communication and interpersonal skills, with the ability to collaborate effectively with cross-functional teams and stakeholders.

Benefits:
 Competitive salary and benefits package.
 Opportunities for professional development and career growth.
 Collaborative and innovative work environment.
 Flexible work arrangements and work-life balance.
 Access to cutting-edge technologies and tools to support your work.

Job Type: Full-time


Education:
 Bachelor's (Required)

Experience:
 Front-end development: 1 year (Required)
 total work: 3 years (Required)
 Java: 1 year (Required)
 Back-end development: 1 year (Required)

Work Location: In person,"
django Developer,Nexus jobs,0 to 3 Yrs," HTML , CSS , JavaScript , Python , Django , Angular , Nodejs , React",Jaipur,"Company Overview

Nexus Jobs is a leading talent staffing services provider with extensive experience in pan-India hiring. Our focus is on providing end-to-end manpower solutions that meet our clients"" specific requirements. We offer a wide range of corporate manpower services, including immediate placement services, part-time/full-time jobs, freelance project work, and career opportunities for both freshers and experienced candidates.

Job Overview

We are seeking a Full-Stack Developer to join our team at Nexus Jobs. As a Full-Stack Developer, you will be responsible for designing, developing, and maintaining both the front-end and back-end components of our web applications. This is a full-time role based in Jaipur, Rajasthan, India, and is suitable for candidates with less than 1 year of experience.

Qualifications And Skills
 Strong knowledge of Node.js, HTML, CSS, and JavaScript
 Proficiency in Python and Django framework
 Excellent communication and collaboration skills
 Problem-solving abilities and attention to detail
 Ability to work in a fast-paced and dynamic environment
 Familiarity with version control systems
 Experience with front-end frameworks such as React or Angular is a plus

Roles And Responsibilities
 Designing, coding, and modifying websites and web applications from layout to function
 Creating visually appealing and user-friendly front-end components using HTML, CSS, and JavaScript
 Developing and maintaining server-side applications using Node.js and Django
 Collaborating with design and product teams to implement and improve features
 Conducting code reviews and ensuring code quality and optimization
 Troubleshooting and resolving issues reported by users
 Staying updated on emerging technologies and industry trends,"
Django Developer,FargoWiz India,3 to 7 Yrs," Django framework , Python programming",Jaipur,"Company Description

FargoWiz India is a software development company based in Jaipur. We specialize in custom software development using cutting-edge technology and platforms. Our team is skilled in modern technology stacks to deliver top-notch solutions for businesses.

Role Description

This is a full-time on-site role for a Django Developer at FargoWiz India in Jaipur. The Django Developer will be responsible for designing and implementing realworld use cases utilizing Django Framework and Python. This will include backend APIs and frontend UI development.

Qualifications
 3-5 years Experience with Django framework and Python programming
 Real world project experience with Django framework
 Implementing backend APIs, frontend UI utiizing Django framework
 Strong problem-solving and analytical skills
 Bachelor's degree in Computer Science or related field

Note: Candidate must include specific project tasks and experience in Django and Python in the CV.

Only candidates with current working location in Jaipur will be considered.,"
Junior Django Developer,Startup Labs Infotech Pvt. Ltd.,1 to 5 Yrs," Python , Django , Django ReST Framework",Jaipur,"We're Hiring!

Django Developer Opportunity!

We're on the lookout for a talented Django Developer with 1-2 years of experience. If you're well-versed in Python, Django, and Django ReST Framework, we'd love to hear from you! Join our dynamic team and work on exciting projects that make an impact.

 Location: On-site (Jaipur)

 Experience: 1-2 years

 Skills: Python, Django, Django ReST Framework

Joining: Immediate

Apply today and be a part of something great!

Apply to: hidden_email with your resume, time required to join, current CTC and expected CTC

hashtag

#DjangoDeveloper hashtag

#Python hashtag

#Hiring hashtag

#TechJobs hashtag

#DjangoRestFramework hashtag

#WebDevelopment hashtag

#CareerOpportunity hashtag

#SoftwareDevelopment hashtag

#BackendDeveloper hashtag

#DeveloperJobs hashtag

#PythonJobs hashtag

#TechCareer hashtag

#JoinOurTeam hashtag

#ReSTAPI hashtag

#APIDevelopment,"
Django Developer,Chikitsa.io,2 to 6 Yrs," Python , Django , PostgreSQL , MySQL , SQLite , HTML , CSS , JavaScript , Angular , Git , Nginx , AWS , Heroku , Docker , RESTful APIs , Testing , Celery , Redis , Memcached , React , Vuejs , Gunicorn , DigitalOcean , GraphQL , Security Practices , pytest",Jaipur,"Company Description

Chikitsa.io is a Web 3.0 secure, cloud-based smart HIMS solution based in Jaipur. Our platform offers innovative E-Prescription modules, real-time insights into hospital operations, a patient-centric mobile application, and ABHA Compliant HMIS for seamless insurance claim settlement. We focus on digitalizing end-to-end hospital operations while maintaining familiarity for healthcare providers and ensuring coordinated patient care.

Role Description

This is a full-time on-site role for a Django Developer at Chikitsa.io in Jaipur. The Django Developer will be responsible for back-end web development, software development, front-end development, programming, and working with databases. The role involves collaborating with cross-functional teams to enhance the platform's functionalities and user experience.

Qualifications
 Back-End Web Development and Software Development skills
 Front-End Development and Programming skills
 Experience with databases
 Strong problem-solving and analytical abilities
 Ability to work collaboratively in a team environment
 Excellent communication and interpersonal skills
 Bachelor's degree in Computer Science or related field

Technical Skills:

Proficiency in Python:
 Django is a Python framework, so a deep understanding of Python is essential, including object-oriented programming (OOP), data structures, and algorithms.

Django Framework:
 Understanding of Django's core features like Models, Views, Templates (MVT architecture), ORM, middleware, and forms.
 Familiarity with Django Rest Framework (DRF) for building APIs.
 Experience with Djangos authentication and authorization systems.

Database Management:
 Working knowledge of relational databases like PostgreSQL, MySQL, and SQLite.
 Experience in writing complex SQL queries and using Django ORM to interact with databases.

Frontend Development:
 Basic knowledge of HTML, CSS, and JavaScript to integrate with Django templates.
 Familiarity with frontend frameworks like React, Vue.js, or Angular (optional but useful for building more dynamic web apps).

Version Control (Git):
 Understanding Git for source code management, collaborating with teams, and versioning applications.

Deployment & DevOps:
 Experience with web servers (e.g., Nginx, Gunicorn) and deploying Django applications to cloud platforms like AWS, DigitalOcean, or Heroku.
 Knowledge of Docker and containerization is a plus.

APIs & Web Services:
 Experience in building and consuming RESTful APIs.
 Understanding of GraphQL (optional).

Security Practices:
 Familiarity with security measures in Django (e.g., preventing XSS, CSRF, and SQL injection).
 Understanding Djangos security features like user authentication, SSL/TLS, and session management.

Testing:
 Knowledge of testing frameworks in Django such as pytest or Djangos own testing tools to ensure code reliability.

Asynchronous Processing:
 Familiarity with asynchronous task queues like Celery for handling background tasks.

Caching:
 Experience with caching mechanisms (Redis, Memcached) to improve performance.,"
Python Developer (Jaipur onsite) (4+Years),Marktine Technology Solutions Pvt Ltd,4 to 8 Yrs," Django , Flask , MySQL , PostgreSQL , HTML , CSS , JavaScript , Git , Python programming",Jaipur,"Company Description

We're Marktine Technology, a leading company shaping the future with AI-driven solutions. We empower businesses with cutting-edge technologies like AI-Powered Applications, Advanced Video Analytics, and Natural Language Processing. Our team values innovation, transparency, and integrity, and we offer a dynamic work environment for growth and development.

Role Description

This is a full-time on-site Python Developer role located in Jaipur. As a Python Developer at Marktine Technology, you will be responsible for developing and maintaining high-quality software solutions. You will collaborate with cross-functional teams to design and implement scalable applications, contributing to the company's success in delivering AI-driven solutions.

Qualifications
 Proficient in Python programming and Django or Flask frameworks
 Experience with database management systems such as MySQL or PostgreSQL
 Strong understanding of front-end technologies like HTML, CSS, and JavaScript
 Knowledge of version control systems like Git
 Excellent problem-solving skills and the ability to work in a collaborative team environment
 Bachelor's degree in Computer Science or related field,"
